ref_area.label,indicator.label,source.label,classif1.label,time,obs_value,note_indicator.label,note_source.label
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Permanente de Hogares (Urban),Occupation (ISCO-08): Total,2018,-1.55,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Accounting concept: Net | Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers,Employment definition: Excluding own-use production workers | Data reference period: Fourth quarter | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1986,15.79,Currency: ARG - Austral (ARA) | Time unit: Per hour,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main city or metropolitan area
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1987,12.5,Currency: ARG - Austral (ARA) | Time unit: Per hour,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main city or metropolitan area
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1988,11.31,Currency: ARG - Austral (ARA) | Time unit: Per hour,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main city or metropolitan area
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1991,6.71,Currency: ARG - Austral (ARA) | Time unit: Per hour,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main city or metropolitan area
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1992,8.33,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Break in series: New or revalued currency,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1993,7.69,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour | Break in series: Sample redesigned,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1994,-2.27,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1995,4.44,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
Argentina,Gender wage gap by occupation (%),ARG - LFS - Encuesta Anual de Hogares Urbanos,Occupation (ISCO-08): Total,1996,-2.33,Currency: ARG - Argentine peso (ARS) | Time unit: Per hour,Repository: SEDLAC (CEDLAS and The World Bank) | Geographical coverage: Main cities or metropolitan areas
